id,place_name,district,place_type,city,latitude,longitude,distance_from_vijayawada_km,distance_from_visakhapatnam_km,distance_from_tirupati_km,estimated_travel_time_hours,best_season,crowd_level,average_visit_duration_hours,entry_fee_inr,rating
1,Tirumala Venkateswara Temple,Tirupati,Temple,Tirupati,13.6833,79.3472,404.7,641.6,10.9,0.3,October-March,Very High,5.5,10,4.4
2,Sri Kalahasti Temple,Tirupati,Temple,Srikalahasti,13.7498,79.6984,341.2,617.2,36.2,0.7,June-September,Medium,4.5,30,4.5
3,Kanaka Durga Temple,NTR,Temple,Vijayawada,16.5151,80.6177,3.9,337.8,423.2,0.1,November-February,Medium,2.7,20,4.5
4,Simhachalam Temple,Visakhapatnam,Temple,Visakhapatnam,17.7667,83.25,384.8,10.6,658.5,0.3,Year Round,Very High,5.0,100,4.3
5,Srisailam Mallikarjuna Temple,Nandyal,Temple,Srisailam,16.072,78.8682,226.8,617.9,313.0,4.6,October-March,Medium,4.5,100,4.2
6,Dwaraka Tirumala Temple,Eluru,Temple,Dwaraka Tirumala,16.965,81.25,98.7,279.1,512.5,1.8,December-February,Medium,4.2,150,3.7
7,Annavaram Satyanarayana Temple,Kakinada,Temple,Annavaram,17.6913,82.9985,317.5,25.5,653.6,0.4,Year Round,Medium,1.9,10,4.3
8,Draksharamam Temple,Kakinada,Temple,Draksharamam,16.7903,82.242,187.0,162.0,579.0,3.2,October-March,Medium,5.2,30,4.4
9,Amaralingeswara Temple,Palnadu,Temple,Amaravati,16.5722,80.3575,38.6,397.6,387.0,1.0,Year Round,Very High,3.5,100,3.6
10,Panakala Narasimha Swamy Temple,Guntur,Temple,Mangalagiri,16.4308,80.568,12.9,339.0,401.8,0.3,November-February,Medium,3.0,150,4.8
11,Veerabhadra Temple,Sri Sathya Sai,Temple,Lepakshi,13.8011,77.604,511.5,790.4,208.7,5.2,October-March,Very High,3.1,20,4.6
12,Arasavalli Sun Temple,Srikakulam,Temple,Arasavalli,18.2968,83.8997,448.7,123.6,816.2,2.2,July-October,High,1.6,0,4.4
13,Srikurmam Temple,Srikakulam,Temple,Srikurmam,18.2848,83.9467,483.9,113.8,785.7,2.8,December-February,Medium,5.4,0,4.9
14,Kanipakam Temple,Chittoor,Temple,Kanipakam,13.28,79.14,453.3,703.3,57.8,1.1,July-October,Low,4.8,30,3.5
15,Undavalli Caves,NTR,Caves,Vijayawada,16.495,80.571,9.7,357.0,366.6,0.2,July-October,Low,2.2,50,3.6
16,Borra Caves,Alluri Sitharama Raju,Caves,Araku,18.28,83.04,343.0,78.7,687.2,1.5,July-October,Medium,3.4,20,3.4
17,Belum Caves,Nandyal,Caves,Belum,15.102,78.111,345.4,754.2,245.2,5.8,Year Round,High,3.0,30,4.5
18,Kondapalli Fort,NTR,Fort,Kondapalli,16.6198,80.542,19.3,355.4,380.0,0.5,July-October,Medium,3.8,100,3.2
19,Gandikota Fort,YSR Kadapa,Fort,Gandikota,14.813,78.285,331.6,734.0,190.8,4.8,November-February,High,1.4,0,4.7
